sample_index,latitude,longitude,cluster_label
868319,21.122364,130.79874,0
868569,21.568512,131.01036,0
868803,22.09361,131.47809,0
871130,16.067554,112.947945,0
871133,15.780082,113.58402,0
872273,22.658743,116.85005,0
872797,34.937794,123.33326,0
874739,27.097185,127.472115,0
875331,29.745874,128.98827,0
875390,30.099064,128.66426,0
875701,31.287664,128.69339,0
875736,30.89433,129.65239,0
876040,43.020836,105.3903,0
877330,35.252384,108.002525,0
877639,40.645283,112.07195,0
877822,43.200268,114.728676,0
878179,46.827675,117.84982,0
879260,25.014336,123.554245,0
879899,20.40878,111.678894,0
880578,29.642769,129.1961,0
881690,38.41075,110.75339,0
882376,48.99618,106.02052,0
882538,48.826103,107.23656,0
882602,49.384537,106.56812,0
884254,33.85591,127.01024,0
885051,35.39578,127.761505,0
886064,38.716076,130.29019,0
887326,37.32285,121.303314,0
887455,18.562235,131.82767,0
888297,17.031633,117.34603,0
888996,45.587246,123.70314,0
890223,39.214188,114.509125,0
891720,51.94697,124.53635,0
892998,25.988882,121.783264,0
893282,24.194262,122.30953,0
894624,15.478715,120.686874,0
